Activity	0.07010627063938478,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.6992059672611974,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	5.542835859311335E-6,Event	2.0611536181902033E-9,Location	1.615811953493297E-4,Place	0.9997210139026379,MeanOfTransportation	2.0611536181902033E-9,Species	0.9997725555024856,SportsSeason	2.0611536181902033E-9,TimePeriod	3.888290301518078E-9,Work	0.9999983647777761
Activity	0.0029162588073688316,Agent	2.0611536181902033E-9,Organisation	4.913131803154423E-7,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	1.0045712474050458E-5,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.24617020341178386,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.239379589883474,Agent	2.0611536181902033E-9,Organisation	1.1913556803535952E-8,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.3270621000561853E-9,CelestialBody	1.8558796270868563E-7,ChemicalSubstance	2.33450335509766E-8,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	6.378629225418308E-4,Place	0.9540691626683626,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	7.93688174587478E-9,TimePeriod	4.929268385887845E-6,Work	2.0611536181902033E-9
Activity	1.8962085736060777E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.8526018334647318,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9988189902804767,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.017376151384119656,Agent	2.0611536181902033E-9,Organisation	5.7940066410085955E-8,other	2.0611536181902033E-9,Person	0.9976551700173009,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	7.211351866119593E-4,Place	0.999999990904621,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999310381880437,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.06860389276825196,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	6.520401443869384E-8,Event	2.0611536181902033E-9,Location	1.345258953032439E-5,Place	0.0027397534132658358,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.01549904760469803,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.31927661681125785,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.21951811603146978,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9970821132847079,Biomolecule	2.0611536181902033E-9,CelestialBody	2.505543675766665E-7,ChemicalSubstance	4.535376923293446E-9,Device	5.0055111145483434E-8,Event	2.0611536181902033E-9,Location	2.292638614832435E-6,Place	0.0017689977460989888,MeanOfTransportation	2.0611536181902033E-9,Species	0.7241829358523731,SportsSeason	2.330093439014262E-5,TimePeriod	1.6676247182699166E-5,Work	6.0460050275804325E-9
Activity	1.385957295877172E-7,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9993604686003769
Activity	0.38391918836155137,Agent	2.0611536181902033E-9,Organisation	1.0717158701020844E-6,other	0.001713838589496152,Person	1.164415209680416E-6,Biomolecule	0.037320405869281086,CelestialBody	3.761793218450427E-5,ChemicalSubstance	6.182086505513841E-4,Device	6.447635998635796E-8,Event	8.815886263717986E-4,Location	0.09225865194053515,Place	4.3378761436411347E-8,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	1.4466136056323771E-5,TimePeriod	0.0017486378040893335,Work	2.0611536181902033E-9
Activity	0.02092422923996282,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	7.321012048222061E-8,MeanOfTransportation	2.0611536181902033E-9,Species	0.9953206150108244,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9468560914317024
Activity	0.08462563940124802,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.437246640767723E-6,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	1.3644755764910955E-7,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	1.9073120685797436E-7,TimePeriod	2.0202792211123707E-7,Work	2.0611536181902033E-9
Activity	0.0073344366888852324,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.01558220709762405,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.0010536885046957159,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.9999999979388464,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9996572557693671,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.025691899134894516,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.034038232805791095,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.999969005663676
Activity	0.06933765871585496,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	7.39154120969871E-9,Person	0.9999999979388464,Biomolecule	1.0984827685818922E-8,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.4990079480911403E-9,Event	2.0611536181902033E-9,Location	4.257843452206552E-5,Place	9.051612699168811E-7,MeanOfTransportation	2.0611536181902033E-9,Species	0.9504412019851101,SportsSeason	4.698456302751283E-9,TimePeriod	7.289983395267441E-8,Work	2.0611536181902033E-9
Activity	0.10767473896573584,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9999999978214782,Person	0.007921690347699167,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	3.4230326488161E-4,Place	8.623716485270399E-5,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	4.671940787365871E-9
Activity	0.00799677988995458,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9999999979388464,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	4.5915903968637907E-7,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	2.0611536181902033E-9,SportsSeason	1.433453453777859E-8,TimePeriod	2.0611536181902033E-9,Work	0.988138879380575
Activity	0.1410084939901139,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	1.579565899021385E-8,Biomolecule	2.0611536181902033E-9,CelestialBody	2.1628497289362268E-7,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	5.821119749783861E-8,Place	2.172912888505965E-4,MeanOfTransportation	0.7676979566767214,Species	0.7597349718634375,SportsSeason	7.326474775312912E-8,TimePeriod	8.273911453858783E-6,Work	2.0611536181902033E-9
Activity	0.06525386553146184,Agent	2.0611536181902033E-9,Organisation	3.628045744568773E-8,other	0.8960266093937242,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	9.721471501778693E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	7.65102467000256E-4,MeanOfTransportation	2.0611536181902033E-9,Species	0.9883767928389919,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	5.668924706470995E-9
Activity	0.17520221347117484,Agent	0.08178492164356822,Organisation	2.0611536181902033E-9,other	7.2200901017667975E-9,Person	0.9555617511080609,Biomolecule	2.0611536181902033E-9,CelestialBody	5.41063343522881E-8,ChemicalSubstance	2.0611536181902033E-9,Device	7.375872768740371E-7,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999809711402287,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	7.183806084117633E-6,TimePeriod	9.805471383271437E-7,Work	0.001432774439681828
Activity	1.4536311947860707E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.999996297722602,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.19782756478218666,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	9.176179923554343E-4,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	6.98168983098374E-7,Device	2.294316599120356E-5,Event	2.0611536181902033E-9,Location	0.10850410418427085,Place	0.9999846727462944,MeanOfTransportation	2.0611536181902033E-9,Species	0.0317340736013559,SportsSeason	1.4972373886462617E-7,TimePeriod	1.1762306245285482E-5,Work	2.0611536181902033E-9
Activity	0.24224144072579443,Agent	2.0611536181902033E-9,Organisation	2.733516886482436E-9,other	2.0611536181902033E-9,Person	4.407553957943057E-9,Biomolecule	1.6121235902018596E-5,CelestialBody	9.213737173073744E-9,ChemicalSubstance	7.397412702302962E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.009861751477418782,Place	0.9999999979388464,MeanOfTransportation	3.4394186613456554E-8,Species	0.7780332219352245,SportsSeason	1.0525564791480928E-6,TimePeriod	3.6702974245240587E-4,Work	2.0611536181902033E-9
Activity	0.019049077486927392,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.593137237348402E-7,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	1.400505742692652E-5,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	2.245590590859793E-9,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9999999979388464,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	2.14480892530268E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	4.221382416094748E-5,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.0012937134482756442,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.11769188788548772,Agent	1.580831761967401E-7,Organisation	1.6332285363668443E-8,other	0.9999999979388464,Person	0.9990553481252552,Biomolecule	5.7952763455861185E-8,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	4.0405275523990225E-6,Device	1.4938962076520213E-5,Event	3.038988927429245E-8,Location	0.04924688021769608,Place	2.574609303682463E-4,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999492203821475,SportsSeason	0.0010144816581271821,TimePeriod	2.417014234043013E-5,Work	2.0611536181902033E-9
Activity	0.01136152808606018,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	5.392213576710186E-4,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999852869634,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.14282237848795973,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.15248342960567324,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	9.391755233193268E-9,Device	2.3554749106675379E-7,Event	2.0611536181902033E-9,Location	1.4899034241382475E-6,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.015636849413324612,SportsSeason	4.811293384011303E-9,TimePeriod	8.888492937893451E-7,Work	2.0611536181902033E-9
Activity	0.012082356630499128,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9996446876900398,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.21312348672313136,Agent	2.0611536181902033E-9,Organisation	4.111957312640842E-5,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	6.98222015054018E-6,CelestialBody	1.6671557960710617E-5,ChemicalSubstance	3.048757589087115E-5,Device	0.001010550113494364,Event	1.0139230433074991E-4,Location	0.12033086102271572,Place	8.80722614220739E-6,MeanOfTransportation	2.0611536181902033E-9,Species	5.334682343053558E-6,SportsSeason	1.203839075138612E-5,TimePeriod	6.346020700255616E-4,Work	0.9999999979388464
Activity	0.10893963401455317,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.0433136563971599,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9404310573583018,SportsSeason	2.0611536181902033E-9,TimePeriod	2.772947965583618E-9,Work	2.0611536181902033E-9
Activity	0.2435961175898026,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.864478939545235E-6,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	1.0687170463485596E-4,Place	2.653580047908971E-7,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	4.509674791977713E-6,Work	2.0611536181902033E-9
Activity	0.003569315906900927,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.08055211828261441
Activity	0.15109110662202055,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.7082729995304456,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.05548750758786887,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	2.2033488313620126E-9,SportsSeason	2.0611536181902033E-9,TimePeriod	2.2904338130052317E-8,Work	2.0611536181902033E-9
Activity	0.012061648459360023,Agent	4.726620362544567E-8,Organisation	2.0611536181902033E-9,other	0.9999999979388464,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.739313955415852E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	2.0611536181902033E-9,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.06112484492152583,Agent	2.0611536181902033E-9,Organisation	5.308665341023293E-4,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	1.1514787397473421E-7,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9963949988681531,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.280535976961027,Agent	0.9999999979388464,Organisation	2.0611536181902033E-9,other	0.9999999979388464,Person	0.9999999979388464,Biomolecule	9.630672863608398E-9,CelestialBody	8.981047858317698E-7,ChemicalSubstance	4.1910614080128656E-5,Device	0.0017981279345226197,Event	2.0611536181902033E-9,Location	1.0053869265625742E-5,Place	6.897581890956121E-9,MeanOfTransportation	1.4772147314032885E-7,Species	0.001889128126134058,SportsSeason	0.0011683872265064019,TimePeriod	0.006324994344240749,Work	1.2488018391112375E-4
Activity	0.277278357565432,Agent	2.0611536181902033E-9,Organisation	6.260567061650772E-8,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.5267531826563725E-8,ChemicalSubstance	1.099123152989739E-8,Device	4.951587424612091E-8,Event	2.0611536181902033E-9,Location	0.051390574464870824,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999954766379396,SportsSeason	4.8017620390939135E-8,TimePeriod	1.7724018077499023E-6,Work	7.058939870706835E-7
Activity	0.03938521044440532,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	9.104139705094266E-5,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.9999999979388464,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.5376255643823588,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	2.0611536181902033E-9,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.24104727542935422,Agent	2.0611536181902033E-9,Organisation	0.00492103205113913,other	4.404349144666044E-4,Person	2.0611536181902033E-9,Biomolecule	8.833236366191151E-6,CelestialBody	1.261820596872647E-8,ChemicalSubstance	3.170917854209412E-5,Device	0.008718875707632039,Event	2.0611536181902033E-9,Location	0.007320447974474784,Place	0.7914765395169445,MeanOfTransportation	2.0611536181902033E-9,Species	0.22908474066519094,SportsSeason	1.9265726409679606E-5,TimePeriod	0.001178604843582996,Work	0.9999999979388464
Activity	4.7848448575739546E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999997585273783,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	2.0611536181902033E-9,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.05399195117247138,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9954586027061294,Person	0.99894324423782,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	4.958301499202994E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
